 X,Y,Hinc_z
    0.44736E+00,    0.10448E+00,    0.84589E+00
    0.44348E+00,    0.11901E+00,    0.84848E+00
    0.44854E+00,    0.99612E-01,    0.84510E+00
    0.44208E+00,    0.12382E+00,    0.84942E+00
    0.44967E+00,    0.94729E-01,    0.84434E+00
    0.44061E+00,    0.12861E+00,    0.85039E+00
    0.43028E+00,    0.18785E+00,    0.85715E+00
    0.45074E+00,    0.89833E-01,    0.84362E+00
    0.43385E+00,    0.16149E+00,    0.85483E+00
    0.43910E+00,    0.13338E+00,    0.85139E+00
    0.45175E+00,    0.84924E-01,    0.84294E+00
    0.43270E+00,    0.16593E+00,    0.85558E+00
    0.49490E+00,   -0.19578E-01,    0.81252E+00
    0.46566E+00,    0.43818E-01,    0.83339E+00
    0.42633E+00,    0.22000E+00,    0.85970E+00
    0.49922E+00,   -0.27901E-01,    0.80934E+00
    0.43752E+00,    0.13814E+00,    0.85243E+00
    0.45270E+00,    0.80005E-01,    0.84229E+00
    0.42446E+00,    0.26427E+00,    0.86090E+00
    0.46155E+00,    0.52819E-01,    0.83624E+00
    0.43590E+00,    0.14288E+00,    0.85349E+00
    0.45360E+00,    0.75074E-01,    0.84168E+00
    0.46267E+00,    0.48366E-01,    0.83547E+00
    0.48703E+00,   -0.73343E-02,    0.81825E+00
    0.42369E+00,    0.25000E+00,    0.86139E+00
    0.43421E+00,    0.14760E+00,    0.85460E+00
    0.45444E+00,    0.70134E-01,    0.84111E+00
    0.42993E+00,    0.17071E+00,    0.85738E+00
    0.43248E+00,    0.15230E+00,    0.85573E+00
    0.45522E+00,    0.65184E-01,    0.84058E+00
    0.47231E+00,    0.20909E-01,    0.82874E+00
    0.42840E+00,    0.17456E+00,    0.85837E+00
    0.49891E+00,   -0.32988E-01,    0.80957E+00
    0.42359E+00,    0.21430E+00,    0.86146E+00
    0.49406E+00,   -0.25088E-01,    0.81313E+00
    0.43068E+00,    0.15698E+00,    0.85689E+00
    0.42178E+00,    0.26851E+00,    0.86261E+00
    0.45594E+00,    0.60225E-01,    0.84009E+00
    0.42669E+00,    0.17991E+00,    0.85947E+00
    0.42434E+00,    0.19793E+00,    0.86098E+00
    0.46366E+00,    0.38273E-01,    0.83478E+00
    0.42096E+00,    0.25781E+00,    0.86313E+00
    0.42884E+00,    0.16164E+00,    0.85809E+00
    0.45661E+00,    0.55259E-01,    0.83963E+00
    0.42458E+00,    0.18452E+00,    0.86082E+00
    0.42694E+00,    0.16628E+00,    0.85931E+00
    0.41954E+00,    0.26348E+00,    0.86403E+00
    0.42085E+00,    0.22000E+00,    0.86320E+00
    0.45722E+00,    0.50285E-01,    0.83922E+00
    0.49855E+00,   -0.38072E-01,    0.80983E+00
    0.49433E+00,   -0.30653E-01,    0.81293E+00
    0.46344E+00,    0.33687E-01,    0.83494E+00
    0.48678E+00,   -0.17261E-01,    0.81843E+00
    0.41907E+00,    0.27272E+00,    0.86433E+00
    0.42102E+00,    0.20845E+00,    0.86309E+00
    0.46505E+00,    0.28283E-01,    0.83382E+00
    0.47267E+00,    0.10598E-01,    0.82849E+00
    0.42498E+00,    0.17089E+00,    0.86056E+00
    0.42241E+00,    0.18910E+00,    0.86221E+00
    0.45777E+00,    0.45304E-01,    0.83884E+00
    0.41735E+00,    0.25000E+00,    0.86541E+00
    0.42298E+00,    0.17548E+00,    0.86185E+00
