 X,Y,Ereal_x,Eimag_x,Ereal_y,Eimag_y
    0.44044E+01,   -0.22942E+01,    0.56157E-19,    0.18653E-19,    0.43657E-19,    0.23954E-18
    0.44027E+01,   -0.22898E+01,   -0.68032E-19,   -0.50333E-19,    0.40352E-19,    0.23260E-18
    0.44052E+01,   -0.22913E+01,    0.32749E-19,    0.81373E-21,   -0.27880E-20,    0.19782E-18
    0.44025E+01,   -0.22849E+01,   -0.76288E-19,   -0.59306E-19,   -0.13172E-18,    0.16336E-18
    0.44002E+01,   -0.22982E+01,   -0.36556E-19,    0.22457E-20,    0.24062E-19,    0.19778E-18
    0.75711E+01,    0.14514E+01,    0.11658E-20,    0.43017E-21,   -0.52336E-21,   -0.73482E-21
    0.76347E+01,   -0.82827E+00,   -0.32673E-21,    0.14416E-21,    0.59935E-21,   -0.38378E-21
    0.44730E+01,   -0.30580E+01,   -0.10739E-18,   -0.20459E-18,    0.54737E-18,   -0.89922E-19
    0.44771E+01,   -0.30550E+01,   -0.68863E-19,   -0.26108E-18,    0.35448E-18,   -0.15089E-18
    0.43947E+01,   -0.22782E+01,    0.46790E-19,   -0.37329E-19,   -0.29761E-18,    0.48270E-19
    0.44691E+01,   -0.30284E+01,    0.53608E-19,   -0.38783E-18,   -0.22984E-18,    0.70006E-19
    0.44718E+01,   -0.30371E+01,   -0.28695E-18,   -0.38527E-18,    0.42718E-19,    0.18143E-18
    0.44744E+01,   -0.30370E+01,   -0.13633E-18,   -0.19698E-18,    0.52683E-19,    0.18988E-18
    0.44709E+01,   -0.30344E+01,   -0.15885E-18,   -0.29134E-18,   -0.15870E-18,    0.33568E-19
    0.44732E+01,   -0.30322E+01,   -0.73294E-19,   -0.26121E-18,   -0.10758E-18,    0.43998E-19
    0.76361E+01,   -0.82076E+00,   -0.37972E-21,   -0.94757E-23,    0.82720E-21,   -0.84914E-21
    0.76341E+01,   -0.82530E+00,   -0.34067E-21,    0.15352E-21,    0.66202E-21,   -0.42567E-21
    0.76314E+01,   -0.82392E+00,   -0.29821E-21,    0.72289E-22,    0.64446E-21,   -0.39197E-21
    0.43953E+01,   -0.22728E+01,    0.41222E-19,    0.64856E-19,   -0.19089E-18,    0.57407E-19
    0.44727E+01,   -0.30627E+01,    0.23508E-19,   -0.15786E-18,    0.52269E-18,    0.52729E-20
    0.44824E+01,   -0.30487E+01,   -0.36103E-20,   -0.22332E-19,    0.13389E-18,    0.59876E-19
    0.65279E+01,    0.29171E+01,    0.22033E-21,    0.40955E-21,   -0.92379E-21,    0.13822E-20
    0.76387E+01,   -0.80900E+00,   -0.93870E-22,    0.71386E-22,    0.92388E-21,   -0.64484E-21
    0.44762E+01,   -0.30392E+01,   -0.13298E-18,   -0.20965E-18,    0.49759E-19,    0.21351E-18
    0.44799E+01,   -0.30387E+01,   -0.34064E-19,   -0.16734E-18,    0.66791E-19,    0.21066E-18
    0.44755E+01,   -0.30340E+01,   -0.16532E-18,   -0.25029E-18,   -0.30034E-19,    0.38740E-19
    0.76373E+01,   -0.80551E+00,   -0.11369E-21,    0.99197E-22,    0.96573E-21,   -0.70331E-21
    0.65237E+01,    0.29195E+01,    0.25984E-21,    0.72753E-21,   -0.76226E-21,    0.15003E-20
    0.44675E+01,   -0.30262E+01,    0.15036E-18,   -0.40153E-18,   -0.30933E-18,    0.77788E-19
    0.44671E+01,   -0.30224E+01,    0.14363E-18,   -0.39091E-18,   -0.23598E-18,   -0.23540E-19
    0.43963E+01,   -0.23031E+01,   -0.92840E-21,   -0.47458E-19,    0.32731E-19,    0.16779E-18
    0.67888E+01,   -0.25761E+01,    0.48603E-21,   -0.88677E-21,   -0.16722E-21,    0.11142E-20
    0.67860E+01,   -0.25735E+01,    0.19692E-21,   -0.46894E-21,    0.98199E-22,    0.73155E-21
    0.67854E+01,   -0.25813E+01,    0.26609E-21,   -0.99521E-21,    0.13141E-21,    0.50888E-21
    0.67936E+01,   -0.25722E+01,    0.23029E-21,   -0.34374E-21,   -0.16014E-21,    0.14867E-20
    0.43938E+01,   -0.22702E+01,    0.36712E-19,    0.81508E-19,   -0.19106E-18,    0.43444E-19
    0.43935E+01,   -0.22662E+01,    0.40585E-19,    0.86305E-19,   -0.15489E-18,    0.88418E-19
    0.75700E+01,    0.14485E+01,    0.11560E-20,    0.40588E-21,   -0.58373E-21,   -0.88113E-21
    0.76325E+01,   -0.83084E+00,   -0.31401E-21,    0.10493E-21,    0.61537E-21,   -0.43263E-21
    0.75688E+01,    0.14536E+01,    0.12101E-20,    0.30755E-21,   -0.57248E-21,   -0.59863E-21
    0.67985E+01,   -0.25719E+01,   -0.26676E-21,    0.38609E-23,    0.39837E-22,    0.11915E-20
    0.68009E+01,   -0.25689E+01,   -0.15115E-21,   -0.86056E-22,    0.29848E-21,    0.98933E-21
    0.44040E+01,   -0.22792E+01,   -0.61655E-20,   -0.21944E-19,   -0.16848E-18,    0.10171E-18
    0.43974E+01,   -0.23000E+01,   -0.73450E-21,   -0.45951E-19,    0.47915E-19,    0.18533E-18
    0.44793E+01,   -0.30575E+01,    0.19699E-19,   -0.21777E-18,    0.25340E-18,   -0.19076E-18
    0.44783E+01,   -0.30522E+01,   -0.10885E-18,   -0.24060E-18,    0.26352E-18,   -0.11791E-18
    0.43990E+01,   -0.22773E+01,    0.10230E-19,    0.23431E-20,   -0.23795E-18,    0.71246E-19
    0.44033E+01,   -0.22994E+01,    0.77984E-19,    0.43220E-19,   -0.26519E-19,    0.16437E-18
    0.42214E+01,   -0.48001E+00,   -0.45022E-19,   -0.19213E-19,    0.14923E-19,   -0.23590E-19
    0.44725E+01,   -0.30286E+01,   -0.56751E-19,   -0.26381E-18,   -0.22047E-18,    0.66924E-19
    0.44813E+01,   -0.30518E+01,    0.45941E-19,   -0.97620E-19,    0.25331E-18,   -0.11417E-18
    0.43986E+01,   -0.22737E+01,    0.85747E-20,    0.26140E-20,   -0.17030E-18,    0.60704E-19
    0.44823E+01,   -0.30555E+01,    0.44555E-19,   -0.92536E-19,    0.25622E-18,   -0.12386E-18
    0.44753E+01,   -0.30660E+01,    0.11251E-18,   -0.15049E-18,    0.38576E-18,   -0.12940E-20
    0.44742E+01,   -0.30602E+01,   -0.17674E-19,   -0.18953E-18,    0.37226E-18,   -0.11513E-18
    0.44782E+01,   -0.30601E+01,    0.58546E-19,   -0.18896E-18,    0.35611E-18,   -0.11023E-18
    0.44789E+01,   -0.30643E+01,    0.59527E-19,   -0.21716E-18,    0.35517E-18,   -0.22127E-19
    0.76334E+01,   -0.83379E+00,   -0.21009E-21,    0.66486E-22,    0.44104E-21,   -0.36832E-21
    0.76324E+01,   -0.83800E+00,   -0.30819E-21,    0.84383E-23,    0.25975E-21,   -0.47545E-21
    0.65250E+01,    0.29168E+01,    0.39832E-21,    0.85926E-21,   -0.94764E-21,    0.13232E-20
    0.65229E+01,    0.29134E+01,    0.46464E-21,    0.68253E-21,   -0.82888E-21,    0.10044E-20
    0.65290E+01,    0.29135E+01,    0.18750E-21,    0.50667E-21,   -0.86899E-21,    0.12205E-20
    0.65200E+01,    0.29188E+01,    0.28898E-21,    0.61446E-21,   -0.76367E-21,    0.15048E-20
    0.44860E+01,   -0.30479E+01,    0.46770E-20,   -0.35763E-19,    0.13092E-18,    0.51388E-19
    0.67858E+01,   -0.25868E+01,   -0.11345E-21,   -0.87750E-21,    0.53105E-21,    0.53282E-21
    0.67828E+01,   -0.25903E+01,   -0.21744E-21,   -0.11019E-20,    0.47561E-21,    0.41337E-21
    0.44058E+01,   -0.22970E+01,    0.75288E-19,    0.42594E-19,   -0.22399E-19,    0.15603E-18
    0.44102E+01,   -0.22986E+01,    0.69888E-19,    0.81847E-19,   -0.20219E-19,    0.13563E-18
    0.75664E+01,    0.14472E+01,    0.10534E-20,    0.29135E-21,   -0.59589E-21,   -0.89464E-21
    0.76287E+01,   -0.83020E+00,   -0.23981E-21,   -0.80830E-22,    0.59889E-21,   -0.39115E-21
    0.75692E+01,    0.14573E+01,    0.13038E-20,    0.32766E-21,   -0.35343E-21,   -0.55189E-21
    0.75656E+01,    0.14601E+01,    0.13132E-20,    0.16504E-21,   -0.35942E-21,   -0.44546E-21
    0.75723E+01,    0.14461E+01,    0.10664E-20,    0.30797E-21,   -0.49169E-21,   -0.78003E-21
    0.75722E+01,    0.14387E+01,    0.98532E-21,    0.31763E-21,   -0.32131E-21,   -0.67302E-21
    0.75648E+01,    0.14534E+01,    0.10692E-20,    0.19252E-21,   -0.61650E-21,   -0.63440E-21
    0.44741E+01,   -0.30692E+01,    0.15436E-18,   -0.14875E-18,    0.44968E-18,    0.56947E-20
    0.44748E+01,   -0.30739E+01,    0.16274E-18,   -0.13732E-18,    0.41539E-18,   -0.51445E-19
    0.42236E+01,   -0.48321E+00,   -0.41898E-19,   -0.22513E-19,    0.15294E-19,   -0.12903E-19
    0.42229E+01,   -0.47616E+00,   -0.42278E-19,   -0.18498E-19,    0.18583E-19,   -0.22428E-19
    0.44040E+01,   -0.23033E+01,    0.78922E-19,    0.49413E-19,   -0.41943E-19,    0.11093E-18
    0.43981E+01,   -0.23091E+01,    0.80198E-19,    0.14714E-19,   -0.45772E-19,    0.12245E-18
    0.76318E+01,   -0.81969E+00,   -0.30065E-21,    0.11252E-21,    0.68325E-21,   -0.96569E-21
    0.44792E+01,   -0.30350E+01,   -0.46064E-19,   -0.19261E-18,   -0.10639E-19,    0.44716E-19
