 X,Y,Htot_real_z,Htot_imag_z
    0.29330E+01,   -0.14488E+01,    0.90368E-01,    0.10555E+00
    0.32181E+01,   -0.10117E+01,   -0.12297E+00,   -0.74602E-01
    0.29693E+01,   -0.13695E+01,    0.32536E-01,    0.14747E+00
    0.39738E+01,   -0.48787E+00,    0.00000E+00,    0.00000E+00
    0.43341E+01,   -0.39030E+00,    0.00000E+00,    0.00000E+00
    0.34977E+01,   -0.74729E+00,    0.28435E+00,   -0.44322E-01
    0.31008E+01,   -0.11525E+01,   -0.13253E+00,    0.90133E-01
    0.37975E+01,   -0.56062E+00,   -0.52500E-01,    0.48047E+00
    0.38733E+01,   -0.52510E+00,   -0.22514E+00,    0.48902E+00
    0.41809E+01,   -0.41930E+00,    0.00000E+00,    0.00000E+00
    0.30280E+01,   -0.12542E+01,   -0.62276E-01,    0.15072E+00
    0.31814E+01,   -0.10400E+01,   -0.13738E+00,   -0.30026E-01
    0.35400E+01,   -0.70855E+00,    0.30812E+00,    0.49613E-01
    0.28688E+01,   -0.15589E+01,    0.12626E+00,    0.99373E-03
    0.28964E+01,   -0.14823E+01,    0.10689E+00,    0.64042E-01
    0.36459E+01,   -0.62938E+00,    0.23831E+00,    0.29288E+00
    0.28358E+01,   -0.16332E+01,    0.00000E+00,    0.00000E+00
    0.46389E+01,   -0.35023E+00,    0.00000E+00,    0.00000E+00
    0.28073E+01,   -0.17197E+01,    0.00000E+00,    0.00000E+00
    0.29889E+01,   -0.12958E+01,   -0.19348E-01,    0.15016E+00
    0.30605E+01,   -0.11787E+01,   -0.10455E+00,    0.11366E+00
    0.33398E+01,   -0.85298E+00,    0.69943E-01,   -0.17594E+00
    0.39088E+01,   -0.48837E+00,   -0.35564E+00,    0.45442E+00
    0.33087E+01,   -0.88057E+00,    0.20064E-01,   -0.16946E+00
    0.33684E+01,   -0.82531E+00,    0.11961E+00,   -0.16984E+00
    0.29268E+01,   -0.13993E+01,    0.62017E-01,    0.11466E+00
    0.35636E+01,   -0.67257E+00,    0.30264E+00,    0.12668E+00
    0.33970E+01,   -0.79763E+00,    0.16830E+00,   -0.15151E+00
    0.32775E+01,   -0.90815E+00,   -0.24810E-01,   -0.15202E+00
    0.38238E+01,   -0.52202E+00,   -0.18936E+00,    0.47935E+00
    0.37478E+01,   -0.55870E+00,    0.50613E-02,    0.45602E+00
    0.31370E+01,   -0.10621E+01,   -0.13432E+00,    0.12797E-01
    0.27179E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.34232E+01,   -0.76992E+00,    0.21086E+00,   -0.12176E+00
    0.36707E+01,   -0.59816E+00,    0.17240E+00,    0.35634E+00
    0.32438E+01,   -0.93567E+00,   -0.63461E-01,   -0.12400E+00
    0.31046E+01,   -0.10979E+01,   -0.12897E+00,    0.52108E-01
    0.30231E+01,   -0.12112E+01,   -0.73058E-01,    0.12871E+00
    0.34494E+01,   -0.74221E+00,    0.24743E+00,   -0.81254E-01
    0.32101E+01,   -0.96320E+00,   -0.92364E-01,   -0.89732E-01
    0.28294E+01,   -0.15875E+01,    0.11253E+00,   -0.39759E-01
    0.28592E+01,   -0.15072E+01,    0.10902E+00,    0.25166E-01
    0.27466E+01,   -0.18597E+01,    0.00000E+00,    0.00000E+00
    0.40723E+01,   -0.40966E+00,    0.00000E+00,    0.00000E+00
    0.29461E+01,   -0.13216E+01,    0.13650E-01,    0.13062E+00
    0.27960E+01,   -0.16633E+01,    0.00000E+00,    0.00000E+00
    0.31733E+01,   -0.99153E+00,   -0.11102E+00,   -0.50002E-01
    0.35960E+01,   -0.62574E+00,    0.26250E+00,    0.22961E+00
    0.28855E+01,   -0.14336E+01,    0.82705E-01,    0.75487E-01
    0.29857E+01,   -0.12437E+01,   -0.39788E-01,    0.13165E+00
    0.30552E+01,   -0.11374E+01,   -0.10308E+00,    0.88983E-01
    0.27680E+01,   -0.17421E+01,    0.00000E+00,    0.00000E+00
    0.40015E+01,   -0.42522E+00,    0.00000E+00,    0.00000E+00
    0.36956E+01,   -0.56167E+00,    0.78772E-01,    0.41186E+00
    0.34972E+01,   -0.68682E+00,    0.28922E+00,    0.23532E-01
    0.37749E+01,   -0.51694E+00,   -0.13723E+00,    0.46714E+00
    0.38513E+01,   -0.48034E+00,   -0.34308E+00,    0.43526E+00
    0.31366E+01,   -0.10199E+01,   -0.11784E+00,   -0.10788E-01
    0.39392E+01,   -0.44107E+00,   -0.50682E+00,    0.36226E+00
    0.33335E+01,   -0.81178E+00,    0.91402E-01,   -0.16084E+00
    0.36207E+01,   -0.59561E+00,    0.21453E+00,    0.29544E+00
    0.29093E+01,   -0.13456E+01,    0.37020E-01,    0.10700E+00
    0.28522E+01,   -0.14621E+01,    0.91293E-01,    0.41228E-01
    0.27897E+01,   -0.16163E+01,    0.90713E-01,   -0.74229E-01
    0.33540E+01,   -0.78174E+00,    0.13002E+00,   -0.14920E+00
    0.32956E+01,   -0.83445E+00,    0.40693E-01,   -0.15659E+00
    0.28191E+01,   -0.15334E+01,    0.10174E+00,   -0.13670E-01
    0.32076E+01,   -0.92135E+00,   -0.67862E-01,   -0.99177E-01
    0.33814E+01,   -0.75657E+00,    0.17124E+00,   -0.13047E+00
